年份,性別,家庭戶數,平均每戶人數,平均每戶成年人數,平均每戶就業人數,平均每戶所得收入者人數,所得收入總計,總消費支出,食品食品及非酒精飲料,菸酒及檳榔,衣著鞋襪及服飾用品,住宅服務、水電瓦斯及其他燃料,家具設備及家務維護,醫療保健,交通,通訊,休閒與文化,教育,餐廳及旅館,什項消費,套裝旅遊,娛樂消遣及文化服務,書報雜誌文具,教育消遣康樂器材及其附屬品
2019.0,男性,"6,144,282",3.25,2.66,1.54,1.85,"1,373,417","882,155","124,172","11,346","24,876","201,237","23,337","138,417","86,525","25,904","53,341","32,941","114,807","45,250","29,251","12,669","4,380","7,042"
2019.0,女性,"2,590,294",2.47,2.18,1.08,1.61,"1,038,839","703,585","98,657","5,050","19,292","183,016","17,569","119,201","55,661","19,393","43,989","17,915","85,185","38,657","24,988","10,355","2,989","5,657"
2020.0,男性,"6,094,054",3.15,2.62,1.51,1.84,"1,400,659","865,702","125,539","11,248","23,808","202,393","24,305","145,411","81,431","25,034","35,998","31,789","115,486","43,260","12,727","12,082","3,977","7,212"
2020.0,女性,"2,735,412",2.42,2.15,1.06,1.61,"1,055,474","702,366","101,254","4,596","19,249","188,680","19,791","124,750","52,774","19,086","29,526","17,852","86,586","38,222","10,563","10,363","2,702","5,897"
2021.0,男性,"6,166,966",3.12,2.6,1.49,1.86,"1,434,321","871,842","127,871","11,369","23,987","206,602","25,436","152,711","83,359","25,705","26,887","31,198","113,341","43,376","2,730","12,385","3,950","7,821"
2021.0,女性,"2,752,930",2.37,2.12,1.05,1.62,"1,044,536","689,098","101,209","4,927","18,518","186,648","20,713","127,615","51,732","19,638","20,830","16,627","83,622","37,019","2,278","9,876","2,626","6,050"
2022.0,男性,"6,113,553",3.05,2.57,1.47,1.84,"1,456,417","886,785","126,092","10,665","24,160","210,204","26,285","153,475","82,093","25,966","28,898","30,642","125,193","43,112","4,161","12,602","3,814","8,321"
2022.0,女性,"2,854,875",2.35,2.12,1.04,1.64,"1,093,362","722,654","101,629","4,700","19,532","195,833","20,613","138,153","52,860","20,004","23,220","15,472","92,906","37,732","3,676","10,391","2,523","6,630"
2023.0,男性,"6,108,145",3.02,2.62,1.49,1.89,"1,501,923","918,622","131,627","10,786","24,477","212,320","26,223","158,671","86,220","26,413","37,299","29,668","131,043","43,875","12,068","13,329","3,766","8,136"
2023.0,女性,"3,011,854",2.31,2.12,1.04,1.63,"1,117,888","745,063","105,192","4,814","19,486","197,249","21,855","139,722","54,367","19,917","30,062","16,025","97,239","39,135","10,014","11,020","2,395","6,634"
